name,year,total_budget,total_budget_high,total_budget_notes,team_size,team_size_high,dev_time,revenue,revenue_high,copies_sold,marketing_budget,notes,pre_orders,dev_budget,total_budget_source,team_size_source,dev_time_source,revenue_source,copies_sold_source,marketing_budget_source,pre_orders_source,dev_budget_source
Half-Life 2,N/A,N/A,N/A,N/A,82,N/A,5 years,N/A,N/A,12M,N/A,Sales up until 2011,N/A,40M,N/A,https://www.gamespot.com/articles/the-final-hours-of-half-life-2/1100-6112889/,https://www.gamespot.com/articles/the-final-hours-of-half-life-2/1100-6112889/,N/A,https://www.forbes.com/forbes/2011/0228/technology-gabe-newell-videogames-valve-online-mayhem.html?sh=b0425cb3ac0b,N/A,N/A,https://www.eurogamer.net/articles/news220304half-life2
Counter-Strike,2000,N/A,N/A,N/A,N/A,N/A,N/A,40M,N/A,1.5M,N/A,Sales and revenue up until 2003,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86017268/lansing-state-journal/,https://www.newspapers.com/clip/86017268/lansing-state-journal/,N/A,N/A,N/A
The Pagemaster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86002435/newsday-suffolk-edition/,N/A,N/A,N/A
America's Army,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85845102/chicago-tribune/
BloodRayne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85843362/chicago-tribune/
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5M,N/A,Sales up until 2007,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85067007/fort-worth-star-telegram/,N/A,N/A,N/A
Battlefield 1942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3M,N/A,Sales up until 2004,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84947573/the-los-angeles-times/,N/A,N/A,N/A
Dance Praise,2005,N/A,N/A,N/A,N/A,N/A,N/A,1.5M,N/A,30K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87600020/edmonton-journal/,https://www.newspapers.com/clip/87600020/edmonton-journal/,N/A,N/A,N/A
The Little Mermaid,1991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500K,N/A,Sales up until December 1991,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84996940/the-los-angeles-times/,N/A,N/A,N/A
NFL GameDay 98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85757718/the-charlotte-observer/,N/A,N/A,N/A
A-10 Attack!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20160305013551/http://www.thefreelibrary.com/Activision+Acquires+Windows+95+Rights+To+Three+Upcoming+Flight%E2%80%A6-a018760621,N/A,N/A,N/A
Dance Central,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://archive.boston.com/business/technology/articles/2011/06/08/at_game_expo_stakes_are_high_for_mass_firms/,N/A,N/A,N/A
Mad Dog McCree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/10177723/mad-dog-clip-2/
Return to Castle Wolfenstein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,Sales up until 2004,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87600260/the-news-and-observer/,N/A,N/A,N/A
Mindshadow,1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/33609987/the-los-angeles-times/,N/A,N/A,N/A
Fantastic Four,2005,N/A,N/A,N/A,N/A,N/A,N/A,16M,N/A,320K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.chicagotribune.com/news/ct-xpm-2005-09-27-0509270150-story.html,https://www.chicagotribune.com/news/ct-xpm-2005-09-27-0509270150-story.html,N/A,N/A,N/A
Harry Potter and the Chamber of Secrets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9M,N/A,Sales up until 2003,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85243043/the-news-and-observer/,N/A,N/A,N/A
Strike Commander,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87600470/austin-american-statesman/
Fox Hunt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87600540/the-los-angeles-times/,N/A,N/A,N/A
Batman Begins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,587K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85116947/the-baltimore-sun/,N/A,N/A,N/A
Mortal Kombat II,N/A,50M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86831649/the-dispatch/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Boulder Dash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500K,N/A,Sales up until 1994,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/87599174/edmonton-journal/,N/A,N/A,N/A
Donkey Kong Country,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90814821/edmonton-journal/
Driver 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3M,17M,N/A,N/A,17M,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/84996569/gta-sa-budget/,https://www.newspapers.com/clip/84996569/gta-sa-budget/,N/A,https://www.newspapers.com/clip/84996569/gta-sa-budget/
Midway Arcade Treasures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://usatoday30.usatoday.com/tech/products/games/2005-08-17-old-school-games_x.htm,N/A,N/A,N/A
F-15 Strike Eagle III,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150K,N/A,Sales up until 1993,N/A,N/A,N/A,N/A,N/A,N/A,https://www.washingtonpost.com/archive/business/1993/02/15/wizards-at-play/a397cbc5-2c23-4902-aedb-53a57348530f/?utm_term=.c02d47216e55,N/A,N/A,N/A
Man of War,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30K,N/A,Sales up until April 1999,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90815808/the-gazette/,N/A,N/A,N/A
Man of War II,N/A,700K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90815808/the-gazette/,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Descent,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/85840180/the-los-angeles-times/,N/A,N/A
WCW vs. nWo: World Tour,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20160105205509/http://www.thefreelibrary.com/TRYING+NEW+MOVE%3b+GAME+MAKER+MAKES+TITLE+FOR+64-BIT+CONSOLE.-a083893891
Actua Soccer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/86060582/the-observer/,N/A,N/A,N/A
Black Crypt,N/A,40K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://web.archive.org/web/20200522012049/https://madison.com/business/soaring-into-year-middleton-based-raven-software-is-set-to/article_7c45558a-01c3-509f-8315-f02a41a8f694.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X-Men Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newspapers.com/clip/90816829/wisconsin-state-journal/,N/A,N/A
Quake II,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,1M,N/A,Sales up until 2002,N/A,N/A,N/A,https://www.newspapers.com/clip/85882834/the-sydney-morning-herald/,N/A,N/A,https://web.archive.org/web/20021211125214/http://www.idsoftware.com/business/home/history/c-index.php,N/A,N/A,N/A
Spycraft: The Great Game,N/A,3M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140K,N/A,N/A,N/A,N/A,https://web.archive.org/web/19980128082919/http://www.newmedia.com/NewMedia/96/09/screens/Activision_Rebound.html,N/A,N/A,N/A,https://www.newspapers.com/clip/90817209/the-san-francisco-examiner/,N/A,N/A,N/A
